Index,time,price,Pred_1h,Pred_4h,Pred_12h,Pred_24h,Pred_48h,Position_1h,Position_4h,Position_12h,Position_24h,Position_48h,Return_1h,Return_4h,Return_12h,Return_24h,Return_48h,Total_Return 1h,Total_Return_4h,Total_Return_12h,Total_Return_24h,Total_Return_48h,Unnamed: 23
0,18/05/2022 21:55:56,28838.86,-0.02317076,-0.0373546261,-0.0221151626,0.0258458567,0.0136452968,-0.0086844213,-0.0086844213,-0.0086844213,0.0086844213,0.0086844213,1.2978978837,,,,,,,,,,
1,18/05/2022 22:55:57,29051.78,0.0006504029,0.0186648927,0.0006519795,-0.0004924043,0.0074710614,0.0085639549,0.0085639549,0.0085639549,-0.0085639549,0.0085639549,,,,,,,,,,,
2,18/05/2022 23:55:53,29190.17,-0.0027580418,0.040759057,0.0037255885,-0.0160606366,-0.0234675951,-0.0085619371,0.0085619371,0.0085619371,-0.0085619371,-0.0085619371,,,,,,,,,,,
3,19/05/2022 00:55:52,29122.33,0.0282017626,0.0642402132,0.0051862114,0.0222546786,-0.0357152262,0.0085885596,0.0085885596,0.0085885596,0.0085885596,-0.0085885596,,,,,,,,,,,
4,19/05/2022 01:55:52,29052.94,-0.0037136284,0.0418726929,0.0063068038,-0.0110074506,0.0758836404,-0.0085982955,0.0085982955,0.0085982955,-0.0085982955,0.0085982955,,,,,,,,,,,
5,19/05/2022 02:55:52,29267.12,0.0033798133,-0.0342189149,-0.0134543627,-0.0366816098,-0.0520003069,0.0085249283,-0.0085249283,-0.0085249283,-0.0085249283,-0.0085249283,,,,,,,,,,,
6,19/05/2022 03:55:53,29155.36,-0.0147599883,0.0533398382,-0.0091465136,-0.003844154,-0.0217288485,-0.0085608229,0.0085608229,-0.0085608229,-0.0085608229,-0.0085608229,,,,,,,,,,,
7,19/05/2022 04:55:53,29018.56,0.0159140935,0.0300206844,0.0062284892,0.0026912391,-0.0158742457,0.0086291194,0.0086291194,0.0086291194,0.0086291194,-0.0086291194,,,,,,,,,,,
8,19/05/2022 05:55:54,29042.07,-0.0066614495,0.0189116077,-0.0037379867,-0.0405618064,-0.028082384,-0.0086207342,0.0086207342,-0.0086207342,-0.0086207342,-0.0086207342,,,,,,,,,,,
9,19/05/2022 06:55:54,29207.43,0.0076959091,-0.0293761148,0.0074992106,0.0203474676,0.0228232856,0.0085601781,-0.0085601781,0.0085601781,0.0085601781,0.0085601781,,,,,,,,,,,
10,19/05/2022 07:55:56,29419.8,0.0213575265,-0.0073275709,-0.0039278772,0.0036220268,-0.0338664115,0.0084753232,-0.0084753232,-0.0084753232,0.0084753232,-0.0084753232,,,,,,,,,,,
11,19/05/2022 08:55:56,29518.7,0.0037915708,-0.0099216132,0.0068948005,-0.0535239415,-0.0053907669,0.008470278,-0.008470278,0.008470278,-0.008470278,-0.008470278,,,,,,,,,,,
12,19/05/2022 09:56:03,29495.95,0.0139472245,0.0263951994,0.006068807,0.0041412178,-0.0115154947,0.0084576066,0.0084576066,0.0084576066,0.0084576066,-0.0084576066,,,,,,,,,,,
13,19/05/2022 10:56:29,29835.37,-0.0070403375,-0.0276909637,-0.0241070199,0.0055048529,-0.0118308033,-0.00836427,-0.00836427,-0.00836427,0.00836427,-0.00836427,,,,,,,,,,,
14,19/05/2022 11:56:38,30321.93,-0.0147589594,-0.0279734536,-0.0460952184,-0.0138013216,-0.0474187686,-0.0082388801,-0.0082388801,-0.0082388801,-0.0082388801,-0.0082388801,,,,,,,,,,,
15,19/05/2022 12:56:29,30127.1,-0.0071412952,-0.0074681511,-0.0115606066,-0.0055072339,-0.0216951971,-0.0082838703,-0.0082838703,-0.0082838703,-0.0082838703,-0.0082838703,,,,,,,,,,,
16,19/05/2022 13:56:53,30146.34,-0.0207461026,-0.0240474944,-0.0208405603,-0.0100636328,-0.0432455058,-0.0082880035,-0.0082880035,-0.0082880035,-0.0082880035,-0.0082880035,,,,,,,,,,,
17,19/05/2022 14:56:15,30223.18,-0.0707565653,-0.0532996076,-0.0079963027,-0.0213108767,-0.0299619526,-0.0082590023,-0.0082590023,-0.0082590023,-0.0082590023,-0.0082590023,,,,,,,,,,,
18,19/05/2022 15:57:56,30033.34,0.0110324114,0.015937188,-0.0199556452,0.0129967236,-0.0178179684,0.0083333306,0.0083333306,-0.0083333306,0.0083333306,-0.0083333306,,,,,,,,,,,
19,19/05/2022 16:57:42,30215.51,0.0296112422,0.0028866114,0.0117958159,-0.0319788639,-0.0418837398,0.008273765,0.008273765,0.008273765,-0.008273765,-0.008273765,,,,,,,,,,,
20,19/05/2022 17:57:53,30270.52,-0.0007777365,0.0318942018,-0.0035050288,-0.0069834649,-0.0460070819,-0.0082729381,0.0082729381,-0.0082729381,-0.0082729381,-0.0082729381,,,,,,,,,,,
21,19/05/2022 19:02:01,30196.14,-0.0059867446,-0.0495025307,-0.0179371337,-0.0391876772,-0.0655518996,-0.0082714464,-0.0082714464,-0.0082714464,-0.0082714464,-0.0082714464,,,,,,,,,,,
22,19/05/2022 19:56:17,30360.62,-0.0136381539,-0.0510116804,-0.0109954294,-0.0561816024,-0.065152819,-0.0082504874,-0.0082504874,-0.0082504874,-0.0082504874,-0.0082504874,,,,,,,,,,,
23,19/05/2022 20:55:57,30275.62,-0.0003432858,-0.0496805674,-0.0177040412,-0.0504971663,-0.031350334,-0.0082684809,-0.0082684809,-0.0082684809,-0.0082684809,-0.0082684809,,,,,,,,,,,
24,19/05/2022 21:55:58,30407.55,0.011189122,-0.0482943769,-0.0218566727,-0.0678771628,0.0136231156,0.0081982212,-0.0081982212,-0.0081982212,-0.0081982212,0.0081982212,,,,,,,,,,,
25,19/05/2022 22:56:01,30329.96,0.0222933191,-0.0848014006,-0.0325699437,-0.0423602202,-0.0464549516,0.0082428733,-0.0082428733,-0.0082428733,-0.0082428733,-0.0082428733,,,,,,,,,,,
26,19/05/2022 23:55:56,30198.36,0.0067840394,0.0286909911,-0.0177329447,-0.0084093086,-0.0262205676,0.0082842519,0.0082842519,-0.0082842519,-0.0082842519,-0.0082842519,,,,,,,,,,,
27,20/05/2022 00:55:56,30100.86,0.0126924495,-0.0462436121,-0.028846365,0.0138809732,0.0008700526,0.0083087892,-0.0083087892,-0.0083087892,0.0083087892,0.0083087892,,,,,,,,,,,
28,20/05/2022 01:55:56,30166.7,-0.0069432178,-0.0695493111,-0.0337311709,-0.0342207978,-0.004657527,-0.0082858417,-0.0082858417,-0.0082858417,-0.0082858417,-0.0082858417,,,,,,,,,,,
29,20/05/2022 02:55:56,29933.95,-0.0037012319,-0.0013211262,-0.0320098064,-0.0343704534,-0.0127318825,-0.0083251802,-0.0083251802,-0.0083251802,-0.0083251802,-0.0083251802,,,,,,,,,,,
30,20/05/2022 03:55:56,30313.78,-0.0029936577,0.0050710404,-0.0184991846,0.0050690937,0.012337794,-0.0082600283,0.0082600283,-0.0082600283,0.0082600283,0.0082600283,,,,,,,,,,,
31,20/05/2022 05:55:57,30339.69,-0.006478469,-0.0032113194,-0.036918514,0.0215229198,-0.0238521895,-0.0082533338,-0.0082533338,-0.0082533338,0.0082533338,-0.0082533338,,,,,,,,,,,
32,20/05/2022 06:55:56,30300.05,-0.0011314041,-0.0330352188,0.0023947241,-0.0062841297,-0.0178681642,-0.0082261115,-0.0082261115,0.0082261115,-0.0082261115,-0.0082261115,,,,,,,,,,,
33,20/05/2022 07:55:57,30465.69,0.029995248,-0.054175775,-0.0127715525,-0.0188563874,-0.0166132864,0.0082255837,-0.0082255837,-0.0082255837,-0.0082255837,-0.0082255837,,,,,,,,,,,
34,20/05/2022 08:55:58,30195.22,0.0311903426,0.0064520576,0.0039286043,-0.0267064217,0.0015789113,0.0082710441,0.0082710441,0.0082710441,-0.0082710441,0.0082710441,,,,,,,,,,,
35,20/05/2022 09:56:06,30365.52,0.0448917256,-0.0317306883,-0.0332703429,0.0012205224,0.0087219165,0.008240189,-0.008240189,-0.008240189,0.008240189,0.008240189,,,,,,,,,,,
36,20/05/2022 10:56:15,29478.02,0.0145300844,0.0230850115,-0.0174930327,0.0006563766,-0.0619476149,0.0084883994,0.0084883994,-0.0084883994,0.0084883994,-0.0084883994,,,,,,,,,,,
37,20/05/2022 11:56:27,29155.05,2.484365719589068e-05,-0.0441391915,-0.0597731936,0.0031596883,0.0042288015,0.0085928222,-0.0085928222,-0.0085928222,0.0085928222,0.0085928222,,,,,,,,,,,
38,20/05/2022 12:56:16,28919.12,-0.055263299,-0.0639943875,-0.00082719,0.006637976,0.0482784014,-0.0086597991,-0.0086597991,-0.0086597991,0.0086597991,0.0086597991,,,,,,,,,,,
39,20/05/2022 13:56:10,29022.79,-0.0164926127,-0.0176279903,0.0091593898,-0.014205868,0.0672026123,-0.0086491364,-0.0086491364,0.0086491364,-0.0086491364,0.0086491364,,,,,,,,,,,
40,20/05/2022 14:56:10,29085.25,-0.0583155634,0.0566407805,0.0100102254,0.019788239,0.0581587437,-0.0086144783,0.0086144783,0.0086144783,0.0086144783,0.0086144783,,,,,,,,,,,
41,20/05/2022 15:56:10,29333.32,0.0010451771,-0.0594927554,0.0008485237,0.0449212343,0.0012452881,0.0085452206,-0.0085452206,0.0085452206,0.0085452206,0.0085452206,,,,,,,,,,,
42,20/05/2022 16:56:20,29170.36,0.0054313423,0.0364728209,9.35027802401664e-05,0.0275537506,0.06747444,0.0085663583,0.0085663583,0.0085663583,0.0085663583,0.0085663583,,,,,,,,,,,
43,20/05/2022 17:56:15,29200.25,-0.0351966548,0.0673642676,-0.0118179319,0.027674096,0.0217795951,-0.0085540741,0.0085540741,-0.0085540741,0.0085540741,0.0085540741,,,,,,,,,,,
44,20/05/2022 18:56:19,29178.71,0.0017305086,0.032939257,0.0167290278,0.0401741034,0.0570922158,0.008570737,0.008570737,0.008570737,0.008570737,0.008570737,,,,,,,,,,,
45,20/05/2022 19:56:53,29222.18,-0.0418880352,0.025158858,0.0282369259,0.0301908834,0.0402339682,-0.0085633888,0.0085633888,0.0085633888,0.0085633888,0.0085633888,,,,,,,,,,,
46,20/05/2022 21:05:32,29276.11,-0.0130347732,0.0173639602,0.0342257535,0.0509321564,0.0170177812,-0.0085619458,0.0085619458,0.0085619458,0.0085619458,0.0085619458,,,,,,,,,,,
47,20/05/2022 22:03:55,29136.55,0.0061295274,0.0669989693,0.0359013055,0.0361809045,0.0378783725,0.0085910535,0.0085910535,0.0085910535,0.0085910535,0.0085910535,,,,,,,,,,,
48,20/05/2022 23:19:39,29174.11,0.0046080835,0.0733761325,0.0256174218,0.0102910587,0.0078682434,0.0085703903,0.0085703903,0.0085703903,0.0085703903,0.0085703903,,,,,,,,,,,
49,20/05/2022 23:57:04,29259.97,0.0034800196,0.0743319243,0.0278577179,0.0096274031,0.0068659378,0.0085440846,0.0085440846,0.0085440846,0.0085440846,0.0085440846,,,,,,,,,,,
50,21/05/2022 04:55:45,29227.26,0.0317579787,0.0671083508,0.0304285579,0.0138664351,0.0804683959,0.0085419214,0.0085419214,0.0085419214,0.0085419214,0.0085419214,,,,,,,,,,,
51,21/05/2022 02:04:56,29283.57,0.0022457023,0.0382382571,0.0193067794,0.0223687971,0.0473077154,0.0085441196,0.0085441196,0.0085441196,0.0085441196,0.0085441196,,,,,,,,,,,
52,21/05/2022 03:10:37,29348.22,-0.0195583393,0.0223953296,0.0199829049,0.0289581709,0.0258861975,-0.008526603,0.008526603,0.008526603,0.008526603,0.008526603,,,,,,,,,,,
53,21/05/2022 05:10:37,29339.67,-0.0234856636,-0.0346498441,0.0279916797,0.0158017143,-0.003241974,-0.0085161234,-0.0085161234,0.0085161234,0.0085161234,-0.0085161234,,,,,,,,,,,
54,21/05/2022 06:10:37,29381.92,0.0304414636,0.0617140707,0.0362418099,-0.0154425838,-0.035543569,0.0085097634,0.0085097634,0.0085097634,-0.0085097634,-0.0085097634,,,,,,,,,,,
55,21/05/2022 07:10:37,29271.7,0.0151280507,0.0182337566,-0.0111655244,0.0256335132,0.0243088875,0.0085414807,0.0085414807,-0.0085414807,0.0085414807,0.0085414807,,,,,,,,,,,
56,21/05/2022 08:10:38,29325.0,0.0289796868,0.0520021715,-0.013499584,-2.682548336094964e-05,0.0085593839,0.0085253091,0.0085253091,-0.0085253091,-0.0085253091,0.0085253091,,,,,,,,,,,
57,21/05/2022 12:55:44,29251.52,0.026943735,0.056392779,-0.0127297027,0.002062165,0.0091210538,0.0085324232,0.0085324232,-0.0085324232,0.0085324232,0.0085324232,,,,,,,,,,,
58,21/05/2022 14:01:25,29316.61,0.0643218777,0.0565299283,0.0499814107,0.0022817472,-0.0397078282,0.0085220891,0.0085220891,0.0085220891,0.0085220891,-0.0085220891,,,,,,,,,,,
59,21/05/2022 14:53:41,29396.7,0.0628294606,0.0620797629,0.0432817531,0.0018470476,-0.0420503475,0.008505302,0.008505302,0.008505302,0.008505302,-0.008505302,,,,,,,,,,,
60,21/05/2022 15:55:25,29629.98,0.001903468,-0.0242535825,0.0477018535,0.0156680618,-0.0069456044,0.0084610672,-0.0084610672,0.0084610672,0.0084610672,-0.0084610672,,,,,,,,,,,"Methodology change, predict around 53, wait for preds to end (2-3 mins), wait 40 seconds, evaluate price. Should be more consistent"
61,21/05/2022 16:55:04,29573.9,-0.0021592897,-0.0261241324,0.0123475515,0.0252060472,-0.0048552897,-0.0084567168,-0.0084567168,0.0084567168,0.0084567168,-0.0084567168,,,,,,,,,,,
62,21/05/2022 18:00:46,29408.75,-0.0310902933,0.048565064,0.0161198311,-0.0183736013,-0.0188120318,-0.0085007181,0.0085007181,0.0085007181,-0.0085007181,-0.0085007181,,,,,,,,,,,
63,21/05/2022 19:00:48,29478.07,-0.0215247819,-0.0369020924,-0.0118651703,-0.0126790007,-0.0559061482,-0.0084761796,-0.0084761796,-0.0084761796,-0.0084761796,-0.0084761796,,,,,,,,,,,
64,21/05/2022 20:02:37,29468.15,0.0115684388,-0.0227331787,-0.0093350629,0.004505139,-0.029709942,0.0084827801,-0.0084827801,-0.0084827801,0.0084827801,-0.0084827801,,,,,,,,,,,
65,21/05/2022 21:08:06,29420.53,-0.0166865175,0.0286709767,-0.0081768338,-0.0162623635,0.0178090859,-0.0084946265,0.0084946265,-0.0084946265,-0.0084946265,0.0084946265,,,,,,,,,,,
66,21/05/2022 22:08:36,29350.76,-0.0175317372,-0.0071312618,-0.0068957871,0.0089072015,0.0362928657,-0.008522551,-0.008522551,-0.008522551,0.008522551,0.008522551,,,,,,,,,,,
67,21/05/2022 23:05:33,29414.26,0.004957458,0.0211501815,-0.0104909268,-0.0006846028,0.0156070117,0.0084954261,0.0084954261,-0.0084954261,-0.0084954261,0.0084954261,,,,,,,,,,,
68,22/05/2022 00:03:51,29437.5,0.03828723,0.0069308386,-0.0192046924,-0.0295831868,0.0135499822,0.0084891978,0.0084891978,-0.0084891978,-0.0084891978,0.0084891978,,,,,,,,,,,
69,22/05/2022 01:02:44,29481.06,0.058747512,0.0236824838,-0.0316532695,-0.0297341763,0.0037643665,0.0084770073,0.0084770073,-0.0084770073,-0.0084770073,0.0084770073,,,,,,,,,,,
70,22/05/2022 02:02:22,29508.75,0.0419546364,-0.0058567154,-0.0286916459,-0.0052116059,-0.0012657279,0.0084801674,-0.0084801674,-0.0084801674,-0.0084801674,-0.0084801674,,,,,,,,,,,
71,22/05/2022 03:02:40,29387.77,-0.0350059996,-0.0239848167,-0.0197347459,-0.0063675427,-0.0335925928,-0.0085031931,-0.0085031931,-0.0085031931,-0.0085031931,-0.0085031931,,,,,,,,,,,
72,22/05/2022 04:02:33,29357.56,0.0014455404,-0.0480106211,0.0154221214,-0.0126112222,-0.0367701053,0.0085169183,-0.0085169183,0.0085169183,-0.0085169183,-0.0085169183,,,,,,,,,,,
73,22/05/2022 05:03:07,29286.09,-0.0238795356,-0.0505205076,-0.0238248978,0.0035058526,-0.0256469291,-0.0085257248,-0.0085257248,-0.0085257248,0.0085257248,-0.0085257248,,,,,,,,,,,
74,22/05/2022 06:01:27,29372.7,0.0137949508,-0.0360253707,0.0070004634,0.0094407269,-0.0099953925,0.0085081561,-0.0085081561,0.0085081561,0.0085081561,-0.0085081561,,,,,,,,,,,
75,22/05/2022 07:01:33,29404.74,0.0101346833,-0.018957246,0.0010576154,0.0174569286,0.0057778797,0.0085017733,-0.0085017733,0.0085017733,0.0085017733,0.0085017733,,,,,,,,,,,
76,22/05/2022 08:02:50,29441.78,-0.0059538061,-0.0142518925,0.0038217913,-0.00999812,-0.0112483458,-0.0084921363,-0.0084921363,0.0084921363,-0.0084921363,-0.0084921363,,,,,,,,,,,
77,22/05/2022 09:02:41,29562.86,0.0177700027,0.01009548,0.002957622,-0.0135448887,0.0135045647,0.0084622386,0.0084622386,0.0084622386,-0.0084622386,0.0084622386,,,,,,,,,,,
78,22/05/2022 10:04:02,30195.5,-0.0040635706,0.0308674431,-0.0054637377,-0.003665301,0.0081481065,-0.00828899,0.00828899,-0.00828899,-0.00828899,0.00828899,,,,,,,,,,,
79,22/05/2022 11:03:04,30188.35,-0.0053444664,-0.0246894947,-0.0164521378,-0.0121078287,-0.0413304807,-0.0082743948,-0.0082743948,-0.0082743948,-0.0082743948,-0.0082743948,,,,,,,,,,,
80,22/05/2022 12:06:08,29899.68,-0.0116284906,0.0117824391,-0.0224242241,-0.0006408337,-0.0168306172,-0.0083462701,0.0083462701,-0.0083462701,-0.0083462701,-0.0083462701,,,,,,,,,,,
81,22/05/2022 13:02:53,30172.66,-0.0091478228,-0.0873272234,0.0149927608,-0.1000366344,-0.1077926337,-0.0082906448,-0.0082906448,0.0082906448,-0.0082906448,-0.0082906448,,,,,,,,,,,
82,22/05/2022 14:13:54,30075.39,-0.0028270427,-0.0354438513,-0.0344997247,-0.0092982707,-0.0748855574,-0.008334439,-0.008334439,-0.008334439,-0.008334439,-0.008334439,,,,,,,,,,,
83,22/05/2022 11:10:20,29927.25,-0.0112780021,-0.006257894,-0.0031139918,-0.0107230132,-0.0837651876,-0.0083519247,-0.0083519247,-0.0083519247,-0.0083519247,-0.0083519247,,,,,,,,,,,
84,22/05/2022 11:53:10,29867.4,-0.0082799222,-0.0086675936,0.0009643235,-0.009681712,-0.0818467962,-0.0083712495,-0.0083712495,0.0083712495,-0.0083712495,-0.0083712495,,,,,,,,,,,
85,22/05/2022 12:53:51,29925.3,-0.0191600113,-0.0595694566,-0.0443747432,-0.0125574855,-0.0676980399,-0.0083541379,-0.0083541379,-0.0083541379,-0.0083541379,-0.0083541379,,,,,,,,,,,
86,22/05/2022 13:53:56,29915.6,-0.0010438476,0.0090333633,0.0021558709,-0.0113886516,-0.0747729313,-0.0083568411,0.0083568411,0.0083568411,-0.0083568411,-0.0083568411,,,,,,,,,,,
87,22/05/2022 14:53:54,30035.0,0.0350676013,-0.0146090774,0.0085841322,-0.0502327541,-0.0378974978,0.0083264446,-0.0083264446,0.0083264446,-0.0083264446,-0.0083264446,,,,,,,,,,,
88,22/05/2022 15:53:52,29918.16,0.0288299917,-0.0875411429,-0.0276410998,-0.0283836545,-0.038557821,0.0083556234,-0.0083556234,-0.0083556234,-0.0083556234,-0.0083556234,,,,,,,,,,,
89,22/05/2022 16:53:54,29991.97,-0.0044133463,0.0483509686,0.0562060549,-0.0305280761,-0.0515916948,-0.0083355673,0.0083355673,0.0083355673,-0.0083355673,-0.0083355673,,,,,,,,,,,
90,22/05/2022 17:53:56,30022.03,0.0065021593,-0.0386787028,-0.045151774,-0.0262039047,-0.0377942594,0.0083270575,-0.0083270575,-0.0083270575,-0.0083270575,-0.0083270575,,,,,,,,,,,
91,22/05/2022 19:54:06,30364.12,-0.0052082621,0.007447716,-0.0378209181,-0.0240568335,-0.0180407446,-0.008233193,0.008233193,-0.008233193,-0.008233193,-0.008233193,,,,,,,,,,,
92,22/05/2022 20:57:26,30293.32,-0.0142311627,-0.0144357114,-0.0107831581,-0.0149784506,-0.0593578249,-0.0082527126,-0.0082527126,-0.0082527126,-0.0082527126,-0.0082527126,,,,,,,,,,,
93,22/05/2022 21:57:26,30213.44,-0.0203075092,-0.035888926,-0.0180578306,-0.0063126749,-0.0236319609,-0.0082755781,-0.0082755781,-0.0082755781,-0.0082755781,-0.0082755781,,,,,,,,,,,
94,22/05/2022 22:57:28,30145.25,0.0406122178,-0.050959461,-0.0066565701,-0.0048653907,-0.0357988052,0.0082962821,-0.0082962821,-0.0082962821,-0.0082962821,-0.0082962821,,,,,,,,,,,
95,22/05/2022 23:57:22,30158.5,0.0450945719,-0.0218870213,0.0073054219,-0.0185806116,-0.0469587275,0.0082895369,-0.0082895369,0.0082895369,-0.0082895369,-0.0082895369,,,,,,,,,,,
96,23/05/2022 00:57:50,30115.01,-0.0070505335,-0.0379892589,0.0130333741,-0.0020319139,-0.0271765748,-0.0082976204,-0.0082976204,0.0082976204,-0.0082976204,-0.0082976204,,,,,,,,,,,
97,23/05/2022 01:57:45,30259.57,-0.0259373372,-0.0346155408,-0.0014331247,-0.0076462674,-0.0302468504,-0.0082523475,-0.0082523475,-0.0082523475,-0.0082523475,-0.0082523475,,,,,,,,,,,
98,23/05/2022 02:57:18,30496.15,-0.0149610807,0.00139768,0.0062902116,-0.0235200711,-0.0555091516,-0.0081968234,0.0081968234,0.0081968234,-0.0081968234,-0.0081968234,,,,,,,,,,,
99,23/05/2022 03:57:19,30471.91,-0.0441533913,-0.0141082099,-0.0249528863,-0.031141772,-0.0486340879,-0.0082027672,-0.0082027672,-0.0082027672,-0.0082027672,-0.0082027672,,,,,,,,,,,
100,23/05/2022 04:57:19,30359.16,0.005463262,0.0343745138,-0.0130725689,-0.058083536,-0.0496585037,0.0082388638,0.0082388638,-0.0082388638,-0.0082388638,-0.0082388638,,,,,,,,,,,
101,23/05/2022 05:57:20,30436.78,-0.0039611802,-0.0244137022,-0.0297998421,-0.0282413954,-0.025188662,-0.0082101779,-0.0082101779,-0.0082101779,-0.0082101779,-0.0082101779,,,,,,,,,,,
102,23/05/2022 06:57:24,30444.81,-0.0084684136,0.0134785308,-0.0234291656,-0.0162137799,-0.1083212337,-0.0082087438,0.0082087438,-0.0082087438,-0.0082087438,-0.0082087438,,,,,,,,,,,
103,23/05/2022 07:57:22,30405.04,0.0453538502,-0.0434492705,-0.0150901697,0.0088892521,-0.0181085849,0.0082242983,-0.0082242983,-0.0082242983,0.0082242983,-0.0082242983,,,,,,,,,,,
104,23/05/2022 08:57:21,30386.0,-0.0168397913,0.0406456242,0.0183581752,-0.0296635734,-0.0425938783,-0.0082273351,0.0082273351,0.0082273351,-0.0082273351,-0.0082273351,,,,,,,,,,,
